Date,XST.TO,XFN.TO,XEG.TO,XRE.TO,XIT.TO,XIC.TO,XGD.TO, XUT.TO ,XHC.TO,XQQ.TO,BTC-CAD,,,,,,,,,,
10/8/2015, $48.23 , $30.27 , $12.32 , $15.41 , $12.18 , $22.15 , $8.42 , $20.02 , $39.72 ,35.830002,314.922516,,,,,,,,,,
10/9/2015, $48.00 , $30.07 , $12.17 , $15.46 , $12.13 , $22.13 , $8.76 , $20.20 , $39.82 ,36.099998,315.597931,,,,,,,,,,
10/13/2015, $48.90 , $30.03 , $11.85 , $15.42 , $12.17 , $21.93 , $8.60 , $20.13 , $39.42 ,36.060001,324.759613,,,,,,,,,,
10/14/2015, $48.35 , $29.73 , $12.00 , $15.33 , $12.10 , $21.97 , $9.15 , $19.82 , $39.33 ,36,325.468994,,,,,,,,,,
10/15/2015, $48.67 , $29.72 , $11.92 , $15.42 , $12.09 , $21.92 , $9.09 , $19.87 , $40.05 ,36.439999,326.877502,,,,,,,,,,
10/16/2015, $48.60 , $29.87 , $11.86 , $15.45 , $12.10 , $21.94 , $8.90 , $19.88 , $40.59 ,36.549999,339.285004,,,,,,,,,,
10/19/2015, $49.01 , $29.95 , $11.51 , $15.60 , $12.24 , $21.80 , $8.63 , $19.99 , $40.64 ,36.849998,342.942291,,,,,,,,,,
10/20/2015, $49.15 , $30.16 , $11.65 , $15.60 , $12.14 , $21.94 , $8.95 , $20.23 , $40.05 ,36.68,349.870789,,,,,,,,,,
10/21/2015, $49.60 , $30.20 , $11.46 , $15.55 , $12.11 , $21.72 , $8.76 , $20.18 , $39.63 ,36.73,349.668396,,,,,,,,,,
10/22/2015, $50.25 , $30.59 , $11.68 , $15.76 , $12.34 , $22.01 , $8.93 , $20.45 , $39.65 ,37.189999,359.079742,,,,,,,,,,
10/23/2015, $50.09 , $30.73 , $11.55 , $15.58 , $12.40 , $22.12 , $9.17 , $20.23 , $40.53 ,38.220001,363.896393,,,,,,,,,,
10/26/2015, $49.71 , $30.60 , $11.25 , $15.51 , $12.18 , $21.87 , $8.87 , $19.94 , $40.57 ,38.279999,375.2836,,,,,,,,,,
10/27/2015, $49.00 , $30.73 , $11.04 , $15.35 , $11.98 , $21.71 , $8.98 , $19.61 , $41.11 ,38.290001,389.856659,,,,,,,,,,
10/28/2015, $49.04 , $31.05 , $11.34 , $15.36 , $12.10 , $21.98 , $8.87 , $19.69 , $41.68 ,38.560001,401.791168,,,,,,,,,,
10/29/2015, $48.45 , $30.99 , $11.41 , $15.46 , $12.25 , $21.88 , $8.56 , $19.76 , $41.60 ,38.630001,413.033203,,,,,,,,,,
10/30/2015, $48.09 , $30.35 , $11.35 , $15.27 , $12.20 , $21.46 , $8.37 , $19.40 , $41.43 ,38.639999,429.04364,,,,,,,,,,
11/2/2015, $47.75 , $30.46 , $11.56 , $15.26 , $12.34 , $21.61 , $8.43 , $19.38 , $42.06 ,38.880001,472.940857,,,,,,,,,,
11/3/2015, $48.36 , $30.57 , $11.95 , $15.20 , $12.38 , $21.75 , $8.34 , $19.44 , $41.90 ,38.98,527.06427,,,,,,,,,,
11/4/2015, $48.89 , $30.50 , $11.87 , $15.10 , $12.57 , $21.68 , $8.19 , $19.47 , $41.80 ,38.98,541.328796,,,,,,,,,,
11/5/2015, $49.05 , $30.61 , $11.86 , $15.31 , $12.61 , $21.53 , $7.86 , $19.50 , $41.78 ,38.919998,508.441864,,,,,,,,,,
11/6/2015, $48.52 , $30.88 , $11.80 , $15.10 , $12.55 , $21.50 , $7.61 , $19.37 , $41.70 ,38.849998,498.269775,,,,,,,,,,
11/9/2015, $48.17 , $30.66 , $11.65 , $14.92 , $12.52 , $21.40 , $7.81 , $19.47 , $41.28 ,38.5,504.334839,,,,,,,,,,
11/10/2015, $48.01 , $30.67 , $11.60 , $14.78 , $12.37 , $21.27 , $7.64 , $19.59 , $41.47 ,38.400002,446.756714,,,,,,,,,,
11/11/2015, $47.95 , $30.72 , $11.28 , $14.84 , $12.46 , $21.16 , $7.75 , $19.48 , $41.25 ,38.380001,412.341858,,,,,,,,,,
11/12/2015, $46.93 , $30.20 , $11.02 , $14.77 , $12.37 , $20.83 , $7.68 , $19.07 , $40.41 ,38,449.065857,,,,,,,,,,
11/13/2015, $46.62 , $29.85 , $11.13 , $14.74 , $12.30 , $20.76 , $7.77 , $19.14 , $40.40 ,37.259998,448.48764,,,,,,,,,,
11/16/2015, $48.18 , $30.31 , $11.59 , $14.75 , $12.54 , $21.13 , $7.82 , $19.44 , $40.94 ,37.700001,440.79187,,,,,,,,,,
11/17/2015, $48.50 , $30.46 , $11.49 , $14.90 , $12.52 , $21.08 , $7.43 , $19.37 , $41.19 ,37.75,446.110626,,,,,,,,,,
11/18/2015, $49.20 , $30.57 , $11.47 , $14.84 , $12.61 , $21.28 , $7.70 , $19.46 , $41.75 ,38.48,444.87085,,,,,,,,,,
11/19/2015, $48.94 , $30.77 , $11.30 , $14.86 , $12.75 , $21.39 , $7.89 , $19.39 , $41.43 ,38.66,433.615082,,,,,,,,,,
11/20/2015, $49.00 , $30.70 , $11.09 , $15.01 , $12.85 , $21.34 , $7.64 , $19.46 , $41.73 ,38.759998,429.609558,,,,,,,,,,
11/23/2015, $49.25 , $30.50 , $11.19 , $14.86 , $12.88 , $21.25 , $7.60 , $19.26 , $41.56 ,38.68,431.654053,,,,,,,,,,
11/24/2015, $49.50 , $30.45 , $11.40 , $15.01 , $12.75 , $21.31 , $7.82 , $18.79 , $41.56 ,38.669998,425.821198,,,,,,,,,,
11/25/2015, $50.13 , $30.40 , $11.31 , $14.91 , $12.92 , $21.30 , $7.79 , $18.76 , $41.80 ,38.720001,436.415497,,,,,,,,,,
11/26/2015, $49.86 , $30.52 , $11.27 , $14.91 , $12.97 , $21.34 , $7.84 , $18.88 , $42.09 ,38.860001,468.71701,,,,,,,,,,
11/27/2015, $49.33 , $30.53 , $11.10 , $15.00 , $12.94 , $21.24 , $7.69 , $18.99 , $41.75 ,38.810001,478.702148,,,,,,,,,,
11/30/2015, $49.10 , $30.65 , $11.28 , $15.04 , $13.00 , $21.41 , $7.85 , $18.93 , $41.50 ,38.639999,503.685822,,,,,,,,,,
12/1/2015, $49.69 , $30.96 , $11.43 , $15.04 , $13.15 , $21.68 , $8.06 , $19.26 , $42.15 ,39,484.102722,,,,,,,,,,
12/2/2015, $49.25 , $30.85 , $11.03 , $14.85 , $12.96 , $21.41 , $7.90 , $19.15 , $41.75 ,38.799999,479.406891,,,,,,,,,,
12/3/2015, $48.75 , $30.51 , $11.01 , $14.78 , $12.80 , $21.19 , $8.03 , $18.87 , $40.70 ,38.099998,481.815887,,,,,,,,,,
12/4/2015, $49.00 , $30.68 , $10.78 , $14.78 , $12.97 , $21.24 , $8.54 , $18.84 , $41.47 ,39.029999,485.103546,,,,,,,,,,
12/7/2015, $49.24 , $30.12 , $10.14 , $14.59 , $12.81 , $20.75 , $8.24 , $18.49 , $41.39 ,38.77,534.290039,,,,,,,,,,
12/8/2015, $48.39 , $29.68 , $10.24 , $14.48 , $12.83 , $20.56 , $8.18 , $18.06 , $41.34 ,38.740002,564.251404,,,,,,,,,,
12/9/2015, $48.33 , $29.72 , $10.29 , $14.41 , $12.61 , $20.60 , $8.25 , $18.03 , $40.74 ,38.240002,566.340698,,,,,,,,,,
12/10/2015, $48.82 , $29.78 , $10.41 , $14.40 , $12.98 , $20.71 , $8.29 , $18.28 , $41.09 ,38.610001,566.46405,,,,,,,,,,
12/11/2015, $48.10 , $29.25 , $10.08 , $14.29 , $12.74 , $20.35 , $8.41 , $18.11 , $40.44 ,37.689999,621.59552,,,,,,,,,,
12/14/2015, $48.38 , $29.12 , $9.90 , $14.15 , $12.68 , $20.21 , $7.91 , $18.02 , $40.53 ,37.790001,609.728638,,,,,,,,,,
12/15/2015, $48.93 , $29.54 , $10.14 , $14.42 , $12.91 , $20.58 , $7.93 , $18.30 , $41.26 ,38.09,638.839233,,,,,,,,,,
12/16/2015, $49.32 , $30.00 , $10.07 , $14.61 , $13.05 , $20.97 , $8.31 , $18.92 , $41.90 ,38.66,627.263,,,,,,,,,,
12/17/2015, $48.92 , $29.88 , $9.98 , $14.68 , $13.08 , $20.73 , $7.83 , $19.11 , $41.58 ,38.099998,635.04303,,,,,,,,,,
12/18/2015, $48.99 , $29.65 , $10.18 , $14.70 , $13.13 , $20.74 , $8.08 , $19.35 , $40.93 ,37.540001,646.976135,,,,,,,,,,
12/21/2015, $49.09 , $29.72 , $10.11 , $14.64 , $13.06 , $20.75 , $8.23 , $19.12 , $40.97 ,37.450001,611.725952,,,,,,,,,,
12/22/2015, $49.39 , $29.70 , $10.09 , $14.62 , $13.14 , $20.83 , $8.19 , $19.14 , $41.34 ,37.849998,607.664551,,,,,,,,,,
12/23/2015, $49.32 , $29.97 , $10.68 , $14.61 , $13.22 , $21.16 , $8.29 , $19.40 , $41.92 ,38.200001,612.858093,,,,,,,,,,
12/24/2015, $49.62 , $30.13 , $10.61 , $14.70 , $13.28 , $21.21 , $8.45 , $19.65 , $41.90 ,38.259998,628.516235,,,,,,,,,,
12/29/2015, $50.05 , $30.20 , $10.45 , $14.68 , $13.42 , $20.94 , $8.21 , $19.47 , $41.66 ,38.75,598.858765,,,,,,,,,,
12/30/2015, $49.78 , $30.02 , $10.19 , $14.70 , $13.36 , $20.78 , $8.10 , $19.44 , $41.43 ,38.450001,591.636597,,,,,,,,,,
12/31/2015, $48.72 , $29.58 , $10.25 , $14.46 , $13.18 , $20.60 , $8.07 , $19.25 , $41.23 ,37.950001,596.938049,,,,,,,,,,
1/4/2016, $48.12 , $29.28 , $10.20 , $14.44 , $12.96 , $20.47 , $8.39 , $19.09 , $40.35 ,36.700001,603.42572,,,,,,,,,,
1/5/2016, $48.00 , $29.27 , $10.27 , $14.36 , $12.90 , $20.46 , $8.37 , $19.12 , $40.70 ,37.060001,604.052856,,,,,,,,,,
1/6/2016, $48.47 , $28.81 , $9.88 , $14.31 , $12.81 , $20.15 , $8.64 , $19.22 , $40.28 ,36.599998,603.579102,,,,,,,,,,
1/7/2016, $48.17 , $28.18 , $9.47 , $13.94 , $12.36 , $19.72 , $9.09 , $18.56 , $39.38 ,35.599998,645.893494,,,,,,,,,,
1/8/2016, $48.28 , $28.20 , $9.49 , $13.96 , $12.40 , $19.71 , $8.86 , $18.89 , $38.88 ,35.200001,642.090942,,,,,,,,,,
1/11/2016, $47.68 , $28.20 , $9.10 , $13.93 , $12.19 , $19.51 , $8.56 , $18.94 , $38.50 ,35.299999,637.619812,,,,,,,,,,
1/12/2016, $47.94 , $28.38 , $9.05 , $13.87 , $12.33 , $19.60 , $8.38 , $18.96 , $38.70 ,35.700001,620.945374,,,,,,,,,,
1/13/2016, $47.53 , $27.79 , $8.88 , $13.81 , $12.23 , $19.29 , $8.46 , $18.68 , $37.95 ,34.630001,620.40918,,,,,,,,,,
1/14/2016, $48.47 , $27.96 , $9.26 , $13.73 , $12.41 , $19.54 , $8.13 , $18.83 , $38.71 ,35.18,617.058777,,,,,,,,,,
1/15/2016, $48.00 , $27.19 , $8.93 , $13.84 , $12.21 , $19.13 , $8.22 , $18.30 , $37.87 ,33.919998,529.773682,,,,,,,,,,
1/18/2016, $47.01 , $27.04 , $8.71 , $13.55 , $11.90 , $18.91 , $8.24 , $18.00 , $38.12 ,34,563.135864,,,,,,,,,,
1/19/2016, $47.54 , $27.37 , $8.57 , $13.84 , $12.08 , $19.04 , $7.82 , $18.30 , $38.16 ,34.099998,553.610962,,,,,,,,,,
1/20/2016, $46.98 , $26.89 , $8.47 , $13.73 , $12.02 , $18.74 , $7.98 , $18.38 , $38.00 ,33.950001,608.030823,,,,,,,,,,
1/21/2016, $48.00 , $27.31 , $8.91 , $13.83 , $12.01 , $19.08 , $7.94 , $18.34 , $38.12 ,34.139999,585.361816,,,,,,,,,,
1/22/2016, $48.98 , $28.12 , $9.41 , $14.05 , $12.20 , $19.65 , $7.96 , $19.27 , $38.94 ,35.07,539.810974,,,,,,,,,,
1/25/2016, $49.10 , $27.38 , $8.93 , $13.94 , $12.22 , $19.27 , $8.26 , $18.94 , $38.71 ,34.57,560.129028,,,,,,,,,,
1/26/2016, $48.98 , $27.64 , $9.29 , $13.99 , $12.31 , $19.56 , $8.53 , $19.28 , $38.99 ,34.799999,553.563171,,,,,,,,,,
1/27/2016, $48.68 , $28.02 , $9.43 , $14.06 , $12.38 , $19.64 , $8.73 , $19.49 , $38.63 ,33.990002,556.752502,,,,,,,,,,
1/28/2016, $49.15 , $28.73 , $9.92 , $14.28 , $12.31 , $19.98 , $8.55 , $20.00 , $37.84 ,34.41,533.773621,,,,,,,,,,
1/29/2016, $49.80 , $29.04 , $10.02 , $14.50 , $12.55 , $20.26 , $8.76 , $20.30 , $38.42 ,35.189999,530.163147,,,,,,,,,,
2/1/2016, $49.38 , $28.78 , $9.69 , $14.35 , $12.58 , $20.12 , $8.94 , $20.20 , $38.47 ,35.380001,520.562317,,,,,,,,,,
2/2/2016, $49.10 , $28.29 , $9.35 , $14.32 , $12.40 , $19.74 , $8.84 , $20.22 , $37.92 ,34.549999,526.548767,,,,,,,,,,
2/3/2016, $49.41 , $28.35 , $9.76 , $14.43 , $12.33 , $19.99 , $9.38 , $20.46 , $37.81 ,34.400002,510.27066,,,,,,,,,,
2/4/2016, $49.14 , $28.69 , $9.82 , $14.49 , $12.27 , $20.29 , $9.75 , $20.60 , $37.43 ,34.369999,535.925476,,,,,,,,,,
2/5/2016, $49.03 , $28.63 , $9.84 , $14.51 , $11.78 , $20.25 , $10.33 , $20.68 , $36.78 ,33.080002,537.882935,,,,,,,,,,
2/8/2016, $48.07 , $28.07 , $9.62 , $14.24 , $11.44 , $19.91 , $10.73 , $20.67 , $36.31 ,32.200001,520.099609,,,,,,,,,,
2/9/2016, $48.27 , $27.38 , $9.15 , $14.05 , $11.54 , $19.51 , $10.27 , $19.86 , $36.18 ,32.560001,521.890625,,,,,,,,,,
2/10/2016, $48.24 , $27.00 , $8.91 , $14.01 , $11.74 , $19.34 , $10.45 , $19.40 , $36.40 ,32.73,531.369873,,,,,,,,,,
2/11/2016, $47.59 , $26.50 , $8.88 , $13.91 , $11.60 , $19.19 , $11.07 , $19.06 , $35.82 ,32.66,528.212585,,,,,,,,,,
2/12/2016, $48.10 , $27.45 , $9.16 , $14.05 , $11.65 , $19.67 , $11.30 , $19.14 , $36.39 ,33.139999,532.012146,,,,,,,,,,
2/16/2016, $48.85 , $28.03 , $9.26 , $14.19 , $12.01 , $19.94 , $10.62 , $19.42 , $37.09 ,33.75,564.615356,,,,,,,,,,
2/17/2016, $49.78 , $28.69 , $9.79 , $14.38 , $12.30 , $20.43 , $10.68 , $19.93 , $37.60 ,34.639999,569.403564,,,,,,,,,,
2/18/2016, $50.43 , $28.73 , $9.66 , $14.67 , $12.25 , $20.53 , $11.26 , $20.04 , $37.45 ,34.32,580.171509,,,,,,,,,,
2/19/2016, $50.49 , $28.58 , $9.51 , $14.74 , $12.24 , $20.36 , $11.12 , $19.91 , $37.37 ,34.360001,579.126404,,,,,,,,,,
2/22/2016, $50.70 , $28.42 , $9.78 , $14.66 , $12.39 , $20.43 , $11.13 , $19.95 , $37.96 ,34.830002,599.846069,,,,,,,,,,
2/23/2016, $50.86 , $28.10 , $9.42 , $14.71 , $12.46 , $20.28 , $11.42 , $19.75 , $37.68 ,34.400002,580.279053,,,,,,,,,,
2/24/2016, $51.10 , $27.65 , $9.54 , $14.81 , $12.54 , $20.25 , $11.45 , $19.64 , $37.67 ,34.650002,582.315796,,,,,,,,,,
2/25/2016, $51.35 , $27.83 , $9.47 , $14.83 , $12.51 , $20.28 , $11.46 , $19.64 , $38.13 ,34.779999,574.91748,,,,,,,,,,
2/26/2016, $51.92 , $28.08 , $9.57 , $14.81 , $12.61 , $20.35 , $11.05 , $19.35 , $38.23 ,34.919998,583.794128,,,,,,,,,,
2/29/2016, $51.88 , $28.20 , $9.75 , $14.86 , $12.75 , $20.40 , $11.39 , $19.33 , $37.60 ,34.73,592.510437,,,,,,,,,,
3/1/2016, $52.69 , $28.84 , $9.95 , $14.99 , $12.86 , $20.64 , $10.84 , $19.80 , $38.30 ,35.709999,584.239624,,,,,,,,,,
3/2/2016, $52.39 , $28.74 , $10.18 , $15.10 , $12.83 , $20.71 , $11.13 , $20.04 , $38.49 ,35.700001,569.332458,,,,,,,,,,
3/3/2016, $52.14 , $28.92 , $10.46 , $15.15 , $12.82 , $20.87 , $11.49 , $20.09 , $38.09 ,35.650002,565.138855,,,,,,,,,,
3/4/2016, $51.80 , $29.11 , $10.78 , $15.23 , $12.54 , $21.01 , $11.34 , $20.18 , $38.18 ,35.689999,547.083069,,,,,,,,,,
3/7/2016, $52.26 , $29.37 , $11.02 , $15.27 , $12.57 , $21.28 , $11.61 , $20.40 , $38.31 ,35.360001,550.508362,,,,,,,,,,
3/8/2016, $52.80 , $29.52 , $10.70 , $15.30 , $12.56 , $21.18 , $11.34 , $20.63 , $38.00 ,35.330002,555.302002,,,,,,,,,,
3/9/2016, $52.49 , $29.70 , $10.82 , $15.41 , $12.59 , $21.31 , $11.29 , $20.65 , $38.04 ,35.34,549.482056,,,,,,,,,,
3/10/2016, $51.81 , $29.63 , $10.80 , $15.51 , $12.44 , $21.29 , $11.88 , $20.51 , $38.01 ,35.34,556.285889,,,,,,,,,,
3/11/2016, $52.25 , $30.05 , $11.07 , $15.54 , $12.51 , $21.53 , $11.57 , $20.58 , $38.66 ,35.889999,556.7995,,,,,,,,,,
3/14/2016, $52.29 , $30.03 , $10.97 , $15.60 , $12.46 , $21.45 , $11.22 , $20.46 , $38.67 ,36.060001,552.696472,,,,,,,,,,
3/15/2016, $52.74 , $30.11 , $10.97 , $15.57 , $12.37 , $21.34 , $11.50 , $20.40 , $37.99 ,35.970001,556.676453,,,,,,,,,,
3/16/2016, $52.75 , $29.99 , $11.11 , $15.71 , $12.49 , $21.31 , $12.04 , $20.32 , $37.83 ,36.330002,546.993286,,,,,,,,,,
3/17/2016, $52.97 , $30.46 , $11.31 , $15.92 , $12.59 , $21.52 , $11.77 , $20.42 , $37.47 ,36.279999,546.092224,,,,,,,,,,
3/18/2016, $51.86 , $30.25 , $11.17 , $15.70 , $12.51 , $21.34 , $11.81 , $20.15 , $37.60 ,36.330002,532.37146,,,,,,,,,,
3/21/2016, $51.99 , $30.37 , $11.16 , $15.84 , $12.60 , $21.44 , $11.83 , $20.43 , $37.85 ,36.419998,540.977539,,,,,,,,,,
3/22/2016, $51.85 , $30.22 , $11.16 , $15.65 , $12.64 , $21.35 , $11.72 , $20.61 , $38.24 ,36.549999,545.564331,,,,,,,,,,
3/23/2016, $52.26 , $30.20 , $10.82 , $15.52 , $12.71 , $21.16 , $11.09 , $20.58 , $38.04 ,36.25,552.10675,,,,,,,,,,
3/24/2016, $52.45 , $29.89 , $10.90 , $15.42 , $12.76 , $21.12 , $11.28 , $20.38 , $37.90 ,36.25,551.597168,,,,,,,,,,
3/28/2016, $52.66 , $30.15 , $10.87 , $15.50 , $12.72 , $21.18 , $11.22 , $20.53 , $37.92 ,36.279999,558.881897,,,,,,,,,,
3/29/2016, $52.51 , $30.09 , $10.81 , $15.48 , $13.00 , $21.25 , $11.72 , $20.68 , $38.14 ,36.790001,544.053162,,,,,,,,,,
3/30/2016, $53.29 , $30.34 , $10.85 , $15.65 , $13.04 , $21.38 , $11.50 , $20.80 , $38.17 ,36.990002,538.223755,,,,,,,,,,
3/31/2016, $52.89 , $30.25 , $10.95 , $15.72 , $13.09 , $21.35 , $11.41 , $20.90 , $38.10 ,36.919998,541.289307,,,,,,,,,,
4/1/2016, $52.76 , $30.27 , $10.67 , $15.77 , $13.08 , $21.28 , $11.49 , $20.97 , $38.28 ,37.279999,543.515198,,,,,,,,,,
4/4/2016, $52.73 , $30.18 , $10.49 , $15.85 , $12.99 , $21.12 , $11.26 , $20.95 , $38.68 ,37.200001,550.995911,,,,,,,,,,
4/5/2016, $51.91 , $30.00 , $10.43 , $15.80 , $13.11 , $21.06 , $11.70 , $20.89 , $38.25 ,36.759998,557.175415,,,,,,,,,,
4/6/2016, $51.16 , $29.94 , $10.75 , $15.71 , $13.15 , $21.14 , $11.65 , $20.65 , $39.23 ,37.119999,553.866516,,,,,,,,,,
4/7/2016, $51.14 , $29.58 , $10.61 , $15.67 , $12.90 , $21.02 , $12.05 , $20.59 , $38.95 ,36.82,555.486938,,,,,,,,,,
4/8/2016, $51.31 , $29.87 , $10.90 , $15.78 , $12.90 , $21.23 , $12.33 , $20.67 , $38.88 ,36.779999,545.612976,,,,,,,,,,
4/11/2016, $51.14 , $29.86 , $10.92 , $15.85 , $12.89 , $21.29 , $12.96 , $20.53 , $38.72 ,36.860001,545.341064,,,,,,,,,,
4/12/2016, $50.95 , $30.20 , $11.48 , $15.75 , $12.87 , $21.52 , $12.93 , $20.46 , $38.85 ,36.880001,542.840088,,,,,,,,,,
4/13/2016, $50.65 , $30.55 , $11.46 , $15.85 , $12.96 , $21.66 , $12.65 , $20.54 , $39.43 ,37.48,542.972778,,,,,,,,,,
4/14/2016, $50.98 , $30.74 , $11.41 , $15.81 , $13.04 , $21.67 , $12.28 , $20.51 , $39.53 ,37.459999,544.693237,,,,,,,,,,
4/15/2016, $51.33 , $30.72 , $11.14 , $15.86 , $13.01 , $21.61 , $12.57 , $20.59 , $39.45 ,37.369999,550.849121,,,,,,,,,,
4/18/2016, $51.34 , $30.79 , $11.27 , $15.99 , $13.07 , $21.74 , $12.54 , $20.72 , $39.76 ,37.459999,547.182129,,,,,,,,,,
4/19/2016, $51.18 , $31.00 , $11.63 , $16.11 , $12.94 , $21.98 , $12.90 , $20.76 , $39.95 ,37.279999,552.878662,,,,,,,,,,
4/20/2016, $51.85 , $31.24 , $11.68 , $16.06 , $12.96 , $22.05 , $12.62 , $20.63 , $40.15 ,37.459999,558.003967,,,,,,,,,,
4/21/2016, $50.62 , $31.15 , $11.72 , $15.79 , $12.92 , $22.01 , $12.99 , $20.48 , $40.14 ,37.32,571.803406,,,,,,,,,,
4/22/2016, $50.40 , $31.13 , $11.87 , $15.68 , $12.78 , $22.01 , $12.67 , $20.34 , $40.40 ,36.849998,564.52594,,,,,,,,,,
4/25/2016, $50.18 , $31.00 , $11.69 , $15.86 , $12.65 , $21.88 , $12.54 , $20.30 , $40.15 ,36.75,584.857422,,,,,,,,,,
4/26/2016, $50.07 , $31.07 , $11.79 , $15.84 , $12.68 , $21.91 , $12.74 , $20.21 , $40.04 ,36.57,587.691589,,,,,,,,,,
4/27/2016, $50.07 , $31.17 , $11.89 , $16.00 , $12.47 , $22.03 , $12.86 , $20.58 , $39.95 ,36.400002,559.460754,,,,,,,,,,
4/28/2016, $50.23 , $31.04 , $11.86 , $16.00 , $12.28 , $22.04 , $13.39 , $20.75 , $39.62 ,36.009998,563.419006,,,,,,,,,,
4/29/2016, $49.97 , $31.09 , $11.87 , $16.02 , $12.20 , $22.14 , $14.28 , $20.60 , $39.00 ,35.75,571.055725,,,,,,,,,,
5/2/2016, $50.42 , $30.95 , $11.53 , $16.01 , $12.26 , $22.01 , $14.04 , $20.85 , $39.30 ,36.119999,557.125793,,,,,,,,,,
5/3/2016, $50.26 , $30.47 , $11.24 , $15.91 , $12.15 , $21.75 , $13.83 , $20.92 , $39.07 ,35.779999,571.841003,,,,,,,,,,
5/4/2016, $50.80 , $30.31 , $11.15 , $15.85 , $12.23 , $21.63 , $13.31 , $20.93 , $38.65 ,35.560001,574.573792,,,,,,,,,,
5/5/2016, $50.66 , $30.21 , $11.16 , $15.98 , $12.25 , $21.63 , $13.70 , $21.07 , $38.76 ,35.490002,575.73877,,,,,,,,,,
5/6/2016, $50.64 , $30.24 , $11.26 , $16.00 , $12.28 , $21.77 , $14.29 , $21.07 , $38.60 ,35.650002,593.209595,,,,,,,,,,
5/9/2016, $50.77 , $30.11 , $11.05 , $16.33 , $12.23 , $21.53 , $13.49 , $20.98 , $39.18 ,35.830002,596.693848,,,,,,,,,,
5/10/2016, $51.28 , $30.45 , $11.31 , $16.34 , $12.55 , $21.87 , $13.89 , $21.19 , $39.51 ,36.25,582.240723,,,,,,,,,,
5/11/2016, $51.03 , $30.49 , $11.42 , $16.38 , $12.51 , $21.89 , $14.12 , $21.34 , $39.13 ,36,582.162903,,,,,,,,,,
5/12/2016, $50.96 , $30.63 , $11.46 , $16.46 , $12.41 , $21.89 , $13.78 , $21.42 , $38.83 ,35.880001,583.965027,,,,,,,,,,
5/13/2016, $51.24 , $30.54 , $11.38 , $16.40 , $12.41 , $21.83 , $14.03 , $21.27 , $38.80 ,35.68,589.318054,,,,,,,,,,
5/16/2016, $51.88 , $30.65 , $11.72 , $16.55 , $12.55 , $22.07 , $14.31 , $21.31 , $39.28 ,36.189999,585.824829,,,,,,,,,,
5/17/2016, $50.81 , $30.58 , $11.82 , $16.44 , $12.50 , $22.10 , $14.48 , $21.21 , $38.81 ,35.630001,585.606934,,,,,,,,,,
5/18/2016, $50.76 , $30.90 , $11.63 , $16.30 , $12.53 , $21.96 , $13.49 , $20.99 , $38.96 ,35.619999,592.186707,,,,,,,,,,
5/19/2016, $51.17 , $30.73 , $11.60 , $16.19 , $12.56 , $21.94 , $13.82 , $20.97 , $38.74 ,35.580002,574.102417,,,,,,,,,,
5/20/2016, $51.86 , $30.93 , $11.66 , $16.33 , $12.75 , $22.13 , $13.88 , $21.15 , $39.10 ,36.119999,580.392517,,,,,,,,,,
